,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Time,Category,Sub-Category,Product Name,Segment,Country,City,State,Postal Code,Region
0,CA-2014-139892,1970-01-01 00:23:30.130,1970-01-01 00:23:30.480,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,0 days 00:00:00.350000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Consumer,United States,San Antonio,Texas,78207,Central
1,CA-2014-139892,1970-01-01 00:23:30.130,1970-01-01 00:23:30.480,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,0 days 00:00:00.350000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Consumer,United States,New York City,New York,10024,East
2,CA-2014-139892,1970-01-01 00:23:30.130,1970-01-01 00:23:30.480,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,0 days 00:00:00.350000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Consumer,United States,Santa Barbara,California,93101,West
3,CA-2014-139892,1970-01-01 00:23:30.130,1970-01-01 00:23:30.480,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,0 days 00:00:00.350000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Consumer,United States,Des Moines,Washington,98198,West
4,CA-2015-169397,1970-01-01 00:24:10.920,1970-01-01 00:24:11.170,First Class,JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904,0 days 00:00:00.250000,Technology,Machines,Okidata MB491 Multifunction Printer,Consumer,United States,Dublin,Ohio,43017,East
5,CA-2015-169397,1970-01-01 00:24:10.920,1970-01-01 00:24:11.170,First Class,JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904,0 days 00:00:00.250000,Technology,Machines,Okidata MB491 Multifunction Printer,Consumer,United States,Austin,Texas,78745,Central
6,CA-2015-169397,1970-01-01 00:24:10.920,1970-01-01 00:24:11.170,First Class,JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904,0 days 00:00:00.250000,Technology,Machines,Okidata MB491 Multifunction Printer,Consumer,United States,Los Angeles,California,90032,West
7,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997,0 days 00:00:00.180000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Corporate,United States,Houston,Texas,77036,Central
8,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997,0 days 00:00:00.180000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Corporate,United States,Philadelphia,Pennsylvania,19134,East
9,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997,0 days 00:00:00.180000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Corporate,United States,Florence,South Carolina,29501,South
10,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997,0 days 00:00:00.180000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Corporate,United States,Springfield,Ohio,45503,East
11,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997,0 days 00:00:00.180000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Corporate,United States,Henderson,Kentucky,42420,South
12,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997,0 days 00:00:00.180000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Corporate,United States,Kent,Ohio,44240,East
13,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997,0 days 00:00:00.180000,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Corporate,United States,San Diego,California,92024,West
14,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958,0 days 00:00:00.180000,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,Corporate,United States,Houston,Texas,77036,Central
15,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958,0 days 00:00:00.180000,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,Corporate,United States,Philadelphia,Pennsylvania,19134,East
16,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958,0 days 00:00:00.180000,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,Corporate,United States,Florence,South Carolina,29501,South
17,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958,0 days 00:00:00.180000,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,Corporate,United States,Springfield,Ohio,45503,East
18,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958,0 days 00:00:00.180000,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,Corporate,United States,Henderson,Kentucky,42420,South
19,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958,0 days 00:00:00.180000,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,Corporate,United States,Kent,Ohio,44240,East
20,US-2014-106992,1970-01-01 00:23:31.080,1970-01-01 00:23:31.260,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958,0 days 00:00:00.180000,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,Corporate,United States,San Diego,California,92024,West
21,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,New Rochelle,New York,10801,East
22,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,Philadelphia,Pennsylvania,19143,East
23,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,Chicago,Illinois,60653,Central
24,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,Alexandria,Virginia,22304,South
25,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,Orange,New Jersey,7050,East
26,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,Houston,Texas,77041,Central
27,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,Bedford,Texas,76021,Central
28,CA-2014-101476,1970-01-01 00:23:30.480,1970-01-01 00:23:30.570,First Class,SD-20485,TEC-MA-10000029,69.99,1,0.0,30.0957,0 days 00:00:00.090000,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Home Office,United States,Phoenix,Arizona,85023,West
